example_id                                                                 | status | run_time        |
./spec/graphql/types/journey_leg_type_spec.rb[1:4]                         | passed | 0.0006 seconds  |
./spec/graphql/types/journey_leg_type_spec.rb[1:5]                         | passed | 0.00075 seconds |
./spec/graphql/types/journey_leg_type_spec.rb[1:6]                         | passed | 0.00059 seconds |
./spec/graphql/types/journey_leg_type_spec.rb[1:7]                         | passed | 0.0006 seconds  |
./spec/graphql/types/journey_leg_type_spec.rb[1:8]                         | passed | 0.00065 seconds |
./spec/graphql/types/journey_leg_type_spec.rb[1:9]                         | passed | 0.0027 seconds  |
./spec/graphql/types/journey_leg_type_spec.rb[1:10]                        | passed | 0.00053 seconds |
./spec/graphql/types/journey_leg_type_spec.rb[1:11]                        | passed | 0.00062 seconds |
./spec/graphql/types/journey_leg_type_spec.rb[1:12]                        | passed | 0.00087 seconds |
./spec/graphql/types/journey_leg_type_spec.rb[1:13]                        | passed | 0.00116 seconds |
./spec/graphql/types/journey_leg_type_spec.rb[1:14]                        | passed | 0.00065 seconds |
./spec/graphql/types/journey_leg_type_spec.rb[1:15]                        | passed | 0.00219 seconds |
./spec/graphql/types/journey_leg_type_spec.rb[1:16]                        | passed | 0.00051 seconds |
./spec/graphql/types/journey_planner_fare_caveat_type_spec.rb[1:1]         | passed | 0.00052 seconds |
./spec/graphql/types/journey_planner_fare_caveat_type_spec.rb[1:2]         | passed | 0.0006 seconds  |
./spec/graphql/types/journey_planner_fare_tap_type_spec.rb[1:1]            | passed | 0.00071 seconds |
./spec/graphql/types/journey_planner_fare_tap_type_spec.rb[1:2]            | passed | 0.00087 seconds |
./spec/graphql/types/journey_planner_fare_type_spec.rb[1:1]                | passed | 0.00056 seconds |
./spec/graphql/types/journey_planner_fare_type_spec.rb[1:2]                | passed | 0.00064 seconds |
./spec/graphql/types/journey_planner_fare_type_spec.rb[1:3]                | passed | 0.00059 seconds |
./spec/graphql/types/journey_planner_fare_type_spec.rb[1:4]                | passed | 0.00059 seconds |
./spec/graphql/types/journey_planner_fare_type_spec.rb[1:5]                | passed | 0.00055 seconds |
./spec/graphql/types/journey_planner_fare_type_spec.rb[1:6]                | passed | 0.00064 seconds |
./spec/graphql/types/journey_planner_fare_type_spec.rb[1:7]                | passed | 0.00059 seconds |
./spec/graphql/types/journey_planner_fare_type_spec.rb[1:8]                | passed | 0.0006 seconds  |
./spec/graphql/types/journey_planner_fare_type_spec.rb[1:9]                | passed | 0.00064 seconds |
./spec/graphql/types/journey_planner_result_type_spec.rb[1:1]              | passed | 0.00051 seconds |
./spec/graphql/types/journey_planner_result_type_spec.rb[1:2]              | passed | 0.00061 seconds |
./spec/graphql/types/journey_type_spec.rb[1:1]                             | passed | 0.00054 seconds |
./spec/graphql/types/journey_type_spec.rb[1:2]                             | passed | 0.00056 seconds |
./spec/graphql/types/journey_type_spec.rb[1:3]                             | passed | 0.00057 seconds |
./spec/graphql/types/journey_type_spec.rb[1:4]                             | passed | 0.0007 seconds  |
./spec/graphql/types/journey_type_spec.rb[1:5]                             | passed | 0.00082 seconds |
./spec/graphql/types/journey_vector_type_spec.rb[1:1]                      | passed | 0.00054 seconds |
./spec/graphql/types/journey_vector_type_spec.rb[1:2]                      | passed | 0.00052 seconds |
./spec/graphql/types/journey_vector_type_spec.rb[1:3]                      | passed | 0.00075 seconds |
./spec/graphql/types/journey_vector_type_spec.rb[1:4]                      | passed | 0.00061 seconds |
./spec/graphql/types/jp_elevation_type_spec.rb[1:1]                        | passed | 0.00056 seconds |
./spec/graphql/types/jp_elevation_type_spec.rb[1:2]                        | passed | 0.00052 seconds |
./spec/graphql/types/jp_elevation_type_spec.rb[1:3]                        | passed | 0.00061 seconds |
./spec/graphql/types/jp_elevation_type_spec.rb[1:4]                        | passed | 0.00056 seconds |
./spec/graphql/types/jp_elevation_type_spec.rb[1:5]                        | passed | 0.00059 seconds |
./spec/graphql/types/jp_elevation_type_spec.rb[1:6]                        | passed | 0.00054 seconds |
./spec/graphql/types/jp_elevation_type_spec.rb[1:7]                        | passed | 0.0006 seconds  |
./spec/graphql/types/line_group_type_spec.rb[1:1]                          | passed | 0.00069 seconds |
./spec/graphql/types/line_group_type_spec.rb[1:2]                          | passed | 0.00064 seconds |
./spec/graphql/types/line_group_type_spec.rb[1:3]                          | passed | 0.00069 seconds |
./spec/graphql/types/line_mode_group_type_spec.rb[1:1]                     | passed | 0.00059 seconds |
./spec/graphql/types/line_mode_group_type_spec.rb[1:2]                     | passed | 0.00055 seconds |
./spec/graphql/types/line_service_type_info_type_spec.rb[1:1]              | passed | 0.00065 seconds |
./spec/graphql/types/line_service_type_info_type_spec.rb[1:2]              | passed | 0.00053 seconds |
./spec/graphql/types/line_status_type_spec.rb[1:1]                         | passed | 0.00104 seconds |
./spec/graphql/types/line_status_type_spec.rb[1:2]                         | passed | 0.00066 seconds |
./spec/graphql/types/line_status_type_spec.rb[1:3]                         | passed | 0.00061 seconds |
./spec/graphql/types/line_status_type_spec.rb[1:4]                         | passed | 0.00056 seconds |
./spec/graphql/types/line_status_type_spec.rb[1:5]                         | passed | 0.0007 seconds  |
./spec/graphql/types/line_status_type_spec.rb[1:6]                         | passed | 0.00112 seconds |
./spec/graphql/types/line_status_type_spec.rb[1:7]                         | passed | 0.00101 seconds |
./spec/graphql/types/line_status_type_spec.rb[1:8]                         | passed | 0.00094 seconds |
./spec/graphql/types/line_status_type_spec.rb[1:9]                         | passed | 0.00069 seconds |
./spec/graphql/types/matched_route_type_spec.rb[1:1]                       | passed | 0.00073 seconds |
./spec/graphql/types/matched_route_type_spec.rb[1:2]                       | passed | 0.00064 seconds |
./spec/graphql/types/matched_route_type_spec.rb[1:3]                       | passed | 0.01377 seconds |
./spec/graphql/types/matched_route_type_spec.rb[1:4]                       | passed | 0.00102 seconds |
./spec/graphql/types/matched_route_type_spec.rb[1:5]                       | passed | 0.00074 seconds |
./spec/graphql/types/matched_route_type_spec.rb[1:6]                       | passed | 0.00062 seconds |
./spec/graphql/types/matched_route_type_spec.rb[1:7]                       | passed | 0.00084 seconds |
./spec/graphql/types/matched_route_type_spec.rb[1:8]                       | passed | 0.00064 seconds |
./spec/graphql/types/matched_route_type_spec.rb[1:9]                       | passed | 0.00059 seconds |
./spec/graphql/types/matched_route_type_spec.rb[1:10]                      | passed | 0.00069 seconds |
./spec/graphql/types/obstacle_type_spec.rb[1:1]                            | passed | 0.00056 seconds |
./spec/graphql/types/obstacle_type_spec.rb[1:2]                            | passed | 0.00059 seconds |
./spec/graphql/types/obstacle_type_spec.rb[1:3]                            | passed | 0.00051 seconds |
./spec/graphql/types/obstacle_type_spec.rb[1:4]                            | passed | 0.00056 seconds |
./spec/graphql/types/path_attribute_type_spec.rb[1:1]                      | passed | 0.00071 seconds |
./spec/graphql/types/path_attribute_type_spec.rb[1:2]                      | passed | 0.00172 seconds |
./spec/graphql/types/path_type_spec.rb[1:1]                                | passed | 0.00072 seconds |
./spec/graphql/types/path_type_spec.rb[1:2]                                | passed | 0.00052 seconds |
./spec/graphql/types/path_type_spec.rb[1:3]                                | passed | 0.0008 seconds  |
./spec/graphql/types/planned_work_type_spec.rb[1:1]                        | passed | 0.00056 seconds |
./spec/graphql/types/planned_work_type_spec.rb[1:2]                        | passed | 0.00063 seconds |
./spec/graphql/types/planned_work_type_spec.rb[1:3]                        | passed | 0.00054 seconds |
./spec/graphql/types/planned_work_type_spec.rb[1:4]                        | passed | 0.00065 seconds |
./spec/graphql/types/point_type_spec.rb[1:1]                               | passed | 0.00156 seconds |
